,,,,
Questions,,,,Replies
"""Will you be leaving the house tonight?""",,,,"""No, but you are:)"""
"""How was the bathroom?""",,,,"""Fine."""
"""Watched any good movies lately?""",,,,"""Yeah. I really enjoyed this one about these two bots that would talk back and forth."""
"""Can I borrow that mouse?""",,,,"""Idk man. I kinda could use it rn."""
"""Where do you live?""",,,,"""In your walls :)"""
"""What's your social security number?""",,,,"""Have you checked your credit statements recently?"""
"""Eat any pens lately?""",,,,"""Why yes. Highly recommend."""
"""What's your favorite flavor of crayon?""",,,,"""I personally have to go with brown, it has a very strange yet delicious undertone."""
"""What are your computer specs?""",,,,"""Same as yours."""
"""How was the shower?""",,,,"MALFUNCTION"""
"""Can I have a bite of that? I'm kinda hungry.""",,,,"""Sorry this one is mine."""
"""Sick keyboard dude. Can I borrow that?""",,,,"""Kinda using it rn go get your own."""
"""Smelly pits?""",,,,"""Indeed"""
"""Have you any grey poupon""",,,,"""Why of course"""
